								
"AVEO"	13.14	"3/2/2012"	"4:00pm"	-0.01	13.14	13.26	12.99	162679
"AVGO"	36.6	"3/2/2012"	"4:00pm"	-0.72	37.21	37.3	36.33	1951663
"AVHI"	10.06	"3/2/2012"	"4:00pm"	-0.45	10.54	10.65	9.96	44813
"AVID"	10.45	"3/2/2012"	"4:00pm"	-0.35	10.78	10.79	10.26	186963
"AVII"	1.02	"3/2/2012"	"4:00pm"	-0.01	1.07	1.11	1.02	672799
								
"AAC"	9.78	"2/28/2012"	"11:08am"	0	"N/A"	"N/A"	"N/A"	0
"AVNR"	2.775	"3/2/2012"	"4:00pm"	0.005	2.79	2.88	2.76	3121295
"AVNW"	2.4	"3/2/2012"	"4:00pm"	-0.12	2.5	2.59	2.4	247253
"AWAY"	26.595	"3/2/2012"	"4:00pm"	-0.145	26.59	26.76	26.42	213927
"AWRE"	4.5	"3/2/2012"	"4:00pm"	0.06	4.44	4.5	4.3	47089
"AXAS"	3.87	"3/2/2012"	"4:00pm"	-0.19	4.05	4.09	3.87	1363521
"AXTI"	5.35	"3/2/2012"	"4:00pm"	-0.26	5.63	5.72	5.35	160872
"AZPN"	20.37	"3/2/2012"	"4:00pm"	-0.42	20.88	20.9	20.29	417515
"BABY"	10.19	"3/2/2012"	"4:00pm"	0.11	10.05	10.31	10.05	540106
"BAGL"	14.97	"3/2/2012"	"4:00pm"	0.5	14.95	15.4	14.75	118300
"BAMM"	2.8692	"3/2/2012"	"3:59pm"	0.1092	2.76	2.88	2.76	34257
"BANC"	11.25	"3/2/2012"	"4:00pm"	-0.26	11.57	12.35	11.21	33684
"BANF"	39.45	"3/2/2012"	"4:00pm"	-0.91	40.71	40.71	39.32	32393
"BANR"	20.46	"3/2/2012"	"4:00pm"	-0.54	20.65	20.89	20.1	280053
"BASI"	1.15	"3/2/2012"	"2:36pm"	-0.03	1.18	1.18	1.129	9944
"BBBY"	60.84	"3/2/2012"	"4:00pm"	0.51	60.56	61.01	60.33	2037738
"BBCN"	9.88	"3/2/2012"	"4:00pm"	-0.28	10.15	10.21	9.8	351810
"BBEP"	19.1	"3/2/2012"	"4:00pm"	0.03	18.97	19.21	18.9615	457380
"BBGI"	3.8	"3/2/2012"	"3:35pm"	-0.0699	3.82	3.87	3.8	710
"BBNK"	12.16	"3/2/2012"	"4:00pm"	0	12.115	12.25	12	41656
"BBOX"	26.6	"3/2/2012"	"4:00pm"	-0.29	26.76	27.09	26.45	109771
"BBRG"	18.64	"3/2/2012"	"4:00pm"	-0.8	19.34	19.55	18.64	138487
"BBSI"	16.9	"3/2/2012"	"4:00pm"	-0.29	17.24	17.32	16.9	32169
"BCAR"	0.36	"3/2/2012"	"3:59pm"	-0.03	0.358	0.4795	0.3502	20823
"BCBP"	10.25	"3/2/2012"	"3:59pm"	0.07	10.1	10.38	10.1	9830
"BCDS"	5.15	"3/2/2012"	"3:51pm"	0.0872	5.12	5.17	5.07	15302
"BCOM"	10.522	"2/29/2012"	"3:39pm"	0	"N/A"	"N/A"	"N/A"	0
"BCRX"	4.69	"3/2/2012"	"4:00pm"	-0.04	4.75	4.88	4.63	414868
"BCSB"	13.05	"3/2/2012"	"4:00pm"	0.15	13	13.38	12.59	2000
"BDE"	8.61	"3/2/2012"	"4:00pm"	0.24	8.38	8.77	8.26	146442
"BDGE"	19.3	"3/2/2012"	"4:00pm"	-0.71	20.03	20.1	19.105	25367
"BDMS"	18.51	"3/1/2012"	"2:45pm"	0	"N/A"	"N/A"	"N/A"	0
"BDSI"	2.29	"3/2/2012"	"4:00pm"	-0.02	2.3	2.361	2.25	131500
"BEAT"	3.1	"3/2/2012"	"4:00pm"	-0.08	3.17	3.29	3.08	201172
"BEAV"	46.41	"3/2/2012"	"4:00pm"	-0.07	46.59	46.75	46.19	940147
"BEBE"	9.01	"3/2/2012"	"4:00pm"	-0.14	9.16	9.18	9	299343
"BECN"	22.93	"3/2/2012"	"4:00pm"	-0.48	23.46	23.57	22.52	200193
"BELFB"	16.71	"3/2/2012"	"3:59pm"	-0.29	17.1	17.32	16.38	78637
"BERK"	7.12	"3/2/2012"	"2:46pm"	0.12	7.04	7.15	6.96	7418
"BFIN"	5.53	"3/2/2012"	"4:00pm"	-0.12	5.65	5.7	5.52	58416
"BFLY"	1.8	"3/2/2012"	"9:30am"	-0.06	1.8	1.8	1.8	100
"BGMD"	7.26	"3/2/2012"	"4:00pm"	-0.33	7.59	7.74	7.22	20933
"BHLB"	21.15	"3/2/2012"	"4:00pm"	-0.6	21.81	21.9	21.06	59275
"BIDZ"	0.64	"3/2/2012"	"3:57pm"	-0.02	0.67	0.67	0.606	16085
"BIIB"	118.89	"3/2/2012"	"4:00pm"	0.18	118.8	119.21	118.08	978065
"BIOC"	5.7	"3/2/2012"	"3:59pm"	0	5.7	5.71	5.68	27186
"BIOD"	0.62	"3/2/2012"	"3:59pm"	-0.025	0.63	0.6399	0.62	131459
"BIOF"	0.77	"3/2/2012"	"4:00pm"	0.05	0.869	0.87	0.745	6028858
"BIOS"	6.45	"3/2/2012"	"4:00pm"	0.1	6.46	6.48	6.34	258479
"BIRT"	5.98	"3/2/2012"	"4:00pm"	-0.22	6.21	6.22	5.94	324651
"BITS"	5.41	"3/2/2012"	"4:00pm"	0	5.39	5.52	5.35	3841
								
"AAC"	9.78	"2/28/2012"	"11:08am"	0	"N/A"	"N/A"	"N/A"	0
"BITS"	5.41	"3/2/2012"	"4:00pm"	0	5.39	5.52	5.35	3841
"BJRI"	48.43	"3/2/2012"	"4:00pm"	-0.37	48.86	49.17	47.7	539922
"BKBK"	8.7	"3/2/2012"	"10:23am"	0.25	8.7	8.7	8.7	132
"BKOR"	3.6399	"3/2/2012"	"2:17pm"	-0.2601	3.48	3.6399	3.48	1844
"BKSC"	10.6499	"3/2/2012"	"3:53pm"	0.0499	10.53	10.87	10.45	5365
"BKYF"	24.06	"3/2/2012"	"4:00pm"	-0.82	24.75	24.8	24.01	16419
"BLDP"	1.36	"3/2/2012"	"4:00pm"	-0.03	1.38	1.4128	1.36	236397
"BLDR"	3.09	"3/2/2012"	"4:00pm"	0.06	3.11	3.21	3.05	337395
"BLIN"	1.02	"3/2/2012"	"4:00pm"	-0.01	1.07	1.11	0.8999	116330
"BLKB"	30.8	"3/2/2012"	"4:00pm"	-0.48	31.23	31.38	30.57	181123
"BLMT"	11.13	"3/2/2012"	"4:00pm"	-0.02	11	11.21	10.99	15379
"BLRX"	3.0701	"3/2/2012"	"3:57pm"	0.0101	3.04	3.1	2.98	29150
"BLTI"	2.71	"3/2/2012"	"4:00pm"	-0.02	2.73	2.82	2.68	197134
"BMC"	37.1	"3/2/2012"	"4:00pm"	-0.85	37.83	38.01	37.07	2583828
"BMRC"	34.6	"3/2/2012"	"4:00pm"	-0.65	35.27	35.38	34.59	13836
"BMRN"	35.39	"3/2/2012"	"4:00pm"	-0.25	35.7	35.93	35.3	555226
"BMTC"	19.4	"3/2/2012"	"4:00pm"	-0.47	19.93	19.93	19.4	30538
"BMTI"	2.08	"3/2/2012"	"4:00pm"	0.01	2.08	2.13	2.06	113780
"BNCL"	8.85	"3/2/2012"	"4:00pm"	-0.1	8.95	9.02	8.84	122862
"BNCN"	7.448	"3/2/2012"	"2:49pm"	-0.072	7.51	7.51	7.448	1185
"BNHN"	10.44	"3/2/2012"	"4:00pm"	-0.18	10.59	10.64	10.4	65685
"BNSO"	1.18	"2/29/2012"	"2:28pm"	0	"N/A"	"N/A"	"N/A"	0
"BOBE"	36.09	"3/2/2012"	"4:00pm"	-0.46	36.47	36.86	35.7	159063
"BOCH"	4.04	"3/2/2012"	"4:00pm"	-0.01	4.04	4.0567	4.015	8159
"BODY"	27.68	"3/2/2012"	"4:00pm"	-1.22	28.99	29.25	27.3	339962
"BOFI"	16.22	"3/2/2012"	"4:00pm"	-0.24	16.53	16.57	16.22	24196
"BOKF"	53.35	"3/2/2012"	"4:00pm"	-0.64	53.89	54.06	53.21	81057
"BOLT"	13.93	"3/2/2012"	"4:00pm"	-0.06	13.61	14.04	13.56	11016
"BONA"	5.16	"3/2/2012"	"3:59pm"	-0.37	5.49	5.5	5.08	410029
"BONT"	5.15	"3/2/2012"	"4:00pm"	0.03	5.15	5.2592	5	236725
"BOOM"	21.4	"3/2/2012"	"4:00pm"	-0.89	22.45	22.539	21.25	77550
